    Energy    <xanes>    
  -10.0000  5.7856075E-05
  -9.00000  7.2625572E-05
  -8.00000  1.0074083E-04
  -7.00000  1.8313083E-04
  -6.00000  4.9778670E-04
  -5.00000  6.3047914E-04
  -4.00000  9.1452662E-04
  -3.00000  1.4615061E-03
  -2.00000  1.5296068E-03
  -1.00000  1.3803950E-03
   0.00000  1.1201373E-03
   0.50000  1.0772940E-03
   1.00000  1.1026554E-03
   1.50000  1.1880610E-03
   2.00000  1.3169832E-03
   2.50000  1.4538029E-03
   3.00000  1.5710053E-03
   3.50000  1.6758033E-03
   4.00000  1.7947838E-03
   4.50000  1.9375375E-03
   5.00000  2.0854514E-03
   5.50000  2.2186343E-03
   6.00000  2.3373006E-03
   6.50000  2.4470533E-03
   7.00000  2.5447591E-03
   7.50000  2.6218616E-03
   8.00000  2.6738150E-03
   8.50000  2.7006473E-03
   9.00000  2.7047371E-03
   9.50000  2.6932637E-03
   10.0000  2.6748806E-03
   11.0000  2.6210909E-03
   12.0000  2.5041549E-03
   13.0000  2.3135122E-03
   14.0000  2.1110152E-03
   15.0000  1.9519145E-03
   16.0000  1.8517425E-03
   17.0000  1.8033663E-03
   18.0000  1.7929625E-03
   19.0000  1.8069261E-03
   20.0000  1.8346822E-03
   21.0000  1.8691217E-03
   22.0000  1.9057408E-03
   23.0000  1.9419403E-03
   24.0000  1.9770116E-03
   25.0000  2.0120194E-03
   26.0000  2.0489803E-03
   27.0000  2.0898214E-03
   28.0000  2.1358225E-03
   29.0000  2.1875866E-03
   30.0000  2.2450302E-03
   31.0000  2.3068572E-03
   32.0000  2.3695282E-03
   33.0000  2.4266224E-03
   34.0000  2.4698007E-03
   35.0000  2.4915156E-03
   36.0000  2.4879532E-03
   37.0000  2.4602984E-03
   38.0000  2.4137791E-03
   39.0000  2.3555138E-03
   40.0000  2.2925424E-03
   41.0000  2.2307169E-03
   42.0000  2.1743522E-03
   43.0000  2.1262520E-03
   44.0000  2.0878360E-03
   45.0000  2.0592947E-03
   46.0000  2.0398027E-03
   47.0000  2.0278186E-03
   48.0000  2.0214601E-03
   49.0000  2.0188940E-03
   50.0000  2.0186549E-03
   52.0000  2.0219191E-03
   54.0000  2.0287793E-03
   56.0000  2.0391872E-03
   58.0000  2.0522976E-03
   60.0000  2.0675554E-03
   62.0000  2.0862683E-03
   64.0000  2.1108172E-03
   66.0000  2.1429661E-03
   68.0000  2.1831052E-03
   70.0000  2.2300368E-03
   72.0000  2.2806974E-03
   74.0000  2.3302101E-03
   76.0000  2.3727982E-03
   78.0000  2.4033664E-03
   80.0000  2.4188733E-03
   82.0000  2.4187902E-03
   84.0000  2.4047788E-03
   86.0000  2.3802221E-03
   88.0000  2.3498800E-03
   90.0000  2.3192842E-03
   92.0000  2.2934746E-03
   94.0000  2.2755110E-03
   96.0000  2.2657452E-03
   98.0000  2.2623164E-03
   100.000  2.2624552E-03
