    Energy    <xanes>    
  -10.0000  3.1980346E-05
  -9.00000  3.5309373E-05
  -8.00000  3.9428164E-05
  -7.00000  4.4664267E-05
  -6.00000  5.1559441E-05
  -5.00000  6.1081164E-05
  -4.00000  7.5147027E-05
  -3.00000  9.8173580E-05
  -2.00000  1.4303566E-04
  -1.00000  2.6695338E-04
   0.00000  9.0677599E-04
   0.50000  1.3130646E-03
   1.00000  1.4014933E-03
   1.50000  1.4601645E-03
   2.00000  1.5106199E-03
   2.50000  1.5085719E-03
   3.00000  1.5244683E-03
   3.50000  1.6080053E-03
   4.00000  1.7204598E-03
   4.50000  1.7612035E-03
   5.00000  1.7265546E-03
   5.50000  1.6810570E-03
   6.00000  1.6510076E-03
   6.50000  1.6537295E-03
   7.00000  1.7112323E-03
   7.50000  1.8288275E-03
   8.00000  1.9866193E-03
   8.50000  2.1573104E-03
   9.00000  2.3108927E-03
   9.50000  2.4136813E-03
   10.0000  2.4544767E-03
   11.0000  2.4307385E-03
   12.0000  2.3984523E-03
   13.0000  2.4010775E-03
   14.0000  2.4127031E-03
   15.0000  2.4188125E-03
   16.0000  2.3659173E-03
   17.0000  2.2455567E-03
   18.0000  2.1129091E-03
   19.0000  2.0156906E-03
   20.0000  1.9623862E-03
   21.0000  1.9395226E-03
   22.0000  1.9316526E-03
   23.0000  1.9295692E-03
   24.0000  1.9305854E-03
   25.0000  1.9356475E-03
   26.0000  1.9465226E-03
   27.0000  1.9643275E-03
   28.0000  1.9892820E-03
   29.0000  2.0210133E-03
   30.0000  2.0587210E-03
   31.0000  2.1010333E-03
   32.0000  2.1458827E-03
   33.0000  2.1907443E-03
   34.0000  2.2331300E-03
   35.0000  2.2708824E-03
   36.0000  2.3020519E-03
   37.0000  2.3246830E-03
   38.0000  2.3369631E-03
   39.0000  2.3377548E-03
   40.0000  2.3270907E-03
   41.0000  2.3062495E-03
   42.0000  2.2774180E-03
   43.0000  2.2432322E-03
   44.0000  2.2064587E-03
   45.0000  2.1698404E-03
   46.0000  2.1359747E-03
   47.0000  2.1071132E-03
   48.0000  2.0849035E-03
   49.0000  2.0701757E-03
   50.0000  2.0628610E-03
   52.0000  2.0663400E-03
   54.0000  2.0830031E-03
   56.0000  2.1003400E-03
   58.0000  2.1114368E-03
   60.0000  2.1154198E-03
   62.0000  2.1151729E-03
   64.0000  2.1151411E-03
   66.0000  2.1197812E-03
   68.0000  2.1320878E-03
   70.0000  2.1526672E-03
   72.0000  2.1800370E-03
   74.0000  2.2115841E-03
   76.0000  2.2443478E-03
   78.0000  2.2754237E-03
   80.0000  2.3020822E-03
   82.0000  2.3217914E-03
   84.0000  2.3324013E-03
   86.0000  2.3325685E-03
   88.0000  2.3222904E-03
   90.0000  2.3032898E-03
   92.0000  2.2789232E-03
   94.0000  2.2533975E-03
   96.0000  2.2304868E-03
   98.0000  2.2123694E-03
   100.000  2.1992728E-03
