    Energy    <xanes>    
  -10.0000  3.4190255E-05
  -9.00000  3.7773476E-05
  -8.00000  4.2182736E-05
  -7.00000  4.7742007E-05
  -6.00000  5.4972797E-05
  -5.00000  6.4775339E-05
  -4.00000  7.8859542E-05
  -3.00000  1.0095809E-04
  -2.00000  1.4124108E-04
  -1.00000  2.4125451E-04
   0.00000  6.9951793E-04
   0.50000  1.0464098E-03
   1.00000  1.2513616E-03
   1.50000  1.4106987E-03
   2.00000  1.5646481E-03
   2.50000  1.7387005E-03
   3.00000  1.9662943E-03
   3.50000  2.2140776E-03
   4.00000  2.3963945E-03
   4.50000  2.4685994E-03
   5.00000  2.4495984E-03
   5.50000  2.4123224E-03
   6.00000  2.4173278E-03
   6.50000  2.4784808E-03
   7.00000  2.5888715E-03
   7.50000  2.7205629E-03
   8.00000  2.8122330E-03
   8.50000  2.8433333E-03
   9.00000  2.8429909E-03
   9.50000  2.8252677E-03
   10.0000  2.7762305E-03
   11.0000  2.5610055E-03
   12.0000  2.2686370E-03
   13.0000  2.0206547E-03
   14.0000  1.8655772E-03
   15.0000  1.7964111E-03
   16.0000  1.7850679E-03
   17.0000  1.8023277E-03
   18.0000  1.8295672E-03
   19.0000  1.8585686E-03
   20.0000  1.8879196E-03
   21.0000  1.9187275E-03
   22.0000  1.9519927E-03
   23.0000  1.9879301E-03
   24.0000  2.0265749E-03
   25.0000  2.0682207E-03
   26.0000  2.1130304E-03
   27.0000  2.1605497E-03
   28.0000  2.2097694E-03
   29.0000  2.2593026E-03
   30.0000  2.3070151E-03
   31.0000  2.3494556E-03
   32.0000  2.3821287E-03
   33.0000  2.4009100E-03
   34.0000  2.4036329E-03
   35.0000  2.3907219E-03
   36.0000  2.3646875E-03
   37.0000  2.3290796E-03
   38.0000  2.2875703E-03
   39.0000  2.2434884E-03
   40.0000  2.1997259E-03
   41.0000  2.1587482E-03
   42.0000  2.1225298E-03
   43.0000  2.0924249E-03
   44.0000  2.0690797E-03
   45.0000  2.0524587E-03
   46.0000  2.0419821E-03
   47.0000  2.0367195E-03
   48.0000  2.0355804E-03
   49.0000  2.0374640E-03
   50.0000  2.0413588E-03
   52.0000  2.0519159E-03
   54.0000  2.0627167E-03
   56.0000  2.0726288E-03
   58.0000  2.0833511E-03
   60.0000  2.0978827E-03
   62.0000  2.1186928E-03
   64.0000  2.1464876E-03
   66.0000  2.1800595E-03
   68.0000  2.2168625E-03
   70.0000  2.2537360E-03
   72.0000  2.2875705E-03
   74.0000  2.3158597E-03
   76.0000  2.3369848E-03
   78.0000  2.3501511E-03
   80.0000  2.3551580E-03
   82.0000  2.3522926E-03
   84.0000  2.3424790E-03
   86.0000  2.3275379E-03
   88.0000  2.3102095E-03
   90.0000  2.2936731E-03
   92.0000  2.2806785E-03
   94.0000  2.2727539E-03
   96.0000  2.2698944E-03
   98.0000  2.2708194E-03
   100.000  2.2736613E-03
