    Energy    <xanes>    
  -10.0000  3.1613259E-05
  -9.00000  3.4918274E-05
  -8.00000  3.9015182E-05
  -7.00000  4.4236587E-05
  -6.00000  5.1135243E-05
  -5.00000  6.0703502E-05
  -4.00000  7.4919330E-05
  -3.00000  9.8362914E-05
  -2.00000  1.4443658E-04
  -1.00000  2.7264198E-04
   0.00000  9.3651259E-04
   0.50000  1.3876462E-03
   1.00000  1.5302753E-03
   1.50000  1.5464910E-03
   2.00000  1.5075866E-03
   2.50000  1.4739261E-03
   3.00000  1.4618816E-03
   3.50000  1.4437154E-03
   4.00000  1.4385134E-03
   4.50000  1.5050750E-03
   5.00000  1.6354389E-03
   5.50000  1.7341551E-03
   6.00000  1.7601604E-03
   6.50000  1.7665538E-03
   7.00000  1.7736040E-03
   7.50000  1.7851503E-03
   8.00000  1.8248531E-03
   8.50000  1.9075300E-03
   9.00000  2.0202713E-03
   9.50000  2.1376262E-03
   10.0000  2.2377084E-03
   11.0000  2.3385451E-03
   12.0000  2.3320406E-03
   13.0000  2.3341107E-03
   14.0000  2.3654461E-03
   15.0000  2.3934969E-03
   16.0000  2.4104250E-03
   17.0000  2.3745000E-03
   18.0000  2.2711200E-03
   19.0000  2.1453251E-03
   20.0000  2.0432215E-03
   21.0000  1.9792822E-03
   22.0000  1.9468927E-03
   23.0000  1.9335747E-03
   24.0000  1.9295062E-03
   25.0000  1.9302721E-03
   26.0000  1.9355435E-03
   27.0000  1.9464956E-03
   28.0000  1.9640925E-03
   29.0000  1.9886176E-03
   30.0000  2.0197594E-03
   31.0000  2.0566125E-03
   32.0000  2.0975937E-03
   33.0000  2.1405955E-03
   34.0000  2.1834263E-03
   35.0000  2.2242183E-03
   36.0000  2.2614793E-03
   37.0000  2.2937732E-03
   38.0000  2.3193623E-03
   39.0000  2.3362001E-03
   40.0000  2.3423734E-03
   41.0000  2.3367511E-03
   42.0000  2.3194783E-03
   43.0000  2.2920725E-03
   44.0000  2.2571280E-03
   45.0000  2.2178489E-03
   46.0000  2.1776166E-03
   47.0000  2.1396486E-03
   48.0000  2.1067069E-03
   49.0000  2.0808421E-03
   50.0000  2.0632052E-03
   52.0000  2.0524424E-03
   54.0000  2.0663378E-03
   56.0000  2.0902331E-03
   58.0000  2.1113479E-03
   60.0000  2.1234744E-03
   62.0000  2.1268085E-03
   64.0000  2.1249322E-03
   66.0000  2.1224327E-03
   68.0000  2.1239292E-03
   70.0000  2.1330626E-03
   72.0000  2.1515513E-03
   74.0000  2.1790184E-03
   76.0000  2.2133060E-03
   78.0000  2.2508488E-03
   80.0000  2.2870759E-03
   82.0000  2.3169646E-03
   84.0000  2.3359264E-03
   86.0000  2.3409398E-03
   88.0000  2.3314326E-03
   90.0000  2.3094988E-03
   92.0000  2.2794070E-03
   94.0000  2.2465022E-03
   96.0000  2.2157257E-03
   98.0000  2.1902616E-03
   100.000  2.1709859E-03
