    Energy    <xanes>    
  -10.0000  3.1150191E-05
  -9.00000  3.4410746E-05
  -8.00000  3.8466382E-05
  -7.00000  4.3662012E-05
  -6.00000  5.0582569E-05
  -5.00000  6.0311786E-05
  -4.00000  7.5130180E-05
  -3.00000  1.0092384E-04
  -2.00000  1.6025890E-04
  -1.00000  3.6735310E-04
   0.00000  8.2677916E-04
   0.50000  1.1391873E-03
   1.00000  1.4670097E-03
   1.50000  1.6276389E-03
   2.00000  1.5827093E-03
   2.50000  1.4580593E-03
   3.00000  1.3676016E-03
   3.50000  1.3583495E-03
   4.00000  1.4117169E-03
   4.50000  1.4782924E-03
   5.00000  1.5400963E-03
   5.50000  1.6067802E-03
   6.00000  1.6682571E-03
   6.50000  1.6781402E-03
   7.00000  1.6273203E-03
   7.50000  1.5775594E-03
   8.00000  1.5674800E-03
   8.50000  1.6034760E-03
   9.00000  1.6843524E-03
   9.50000  1.8047672E-03
   10.0000  1.9519740E-03
   11.0000  2.2261603E-03
   12.0000  2.3500804E-03
   13.0000  2.3776446E-03
   14.0000  2.3836435E-03
   15.0000  2.3893932E-03
   16.0000  2.3971384E-03
   17.0000  2.3945611E-03
   18.0000  2.3434845E-03
   19.0000  2.2417539E-03
   20.0000  2.1278850E-03
   21.0000  2.0361727E-03
   22.0000  1.9762714E-03
   23.0000  1.9419211E-03
   24.0000  1.9240822E-03
   25.0000  1.9172263E-03
   26.0000  1.9193046E-03
   27.0000  1.9294604E-03
   28.0000  1.9466624E-03
   29.0000  1.9697383E-03
   30.0000  1.9977717E-03
   31.0000  2.0301853E-03
   32.0000  2.0664944E-03
   33.0000  2.1059572E-03
   34.0000  2.1473998E-03
   35.0000  2.1893722E-03
   36.0000  2.2304715E-03
   37.0000  2.2694229E-03
   38.0000  2.3047219E-03
   39.0000  2.3341751E-03
   40.0000  2.3549237E-03
   41.0000  2.3641567E-03
   42.0000  2.3601277E-03
   43.0000  2.3428551E-03
   44.0000  2.3141580E-03
   45.0000  2.2771473E-03
   46.0000  2.2355369E-03
   47.0000  2.1930625E-03
   48.0000  2.1530787E-03
   49.0000  2.1182873E-03
   50.0000  2.0905530E-03
   52.0000  2.0590558E-03
   54.0000  2.0556940E-03
   56.0000  2.0684572E-03
   58.0000  2.0847409E-03
   60.0000  2.0974842E-03
   62.0000  2.1053399E-03
   64.0000  2.1098354E-03
   66.0000  2.1135877E-03
   68.0000  2.1198086E-03
   70.0000  2.1315806E-03
   72.0000  2.1508288E-03
   74.0000  2.1778666E-03
   76.0000  2.2115004E-03
   78.0000  2.2491687E-03
   80.0000  2.2870754E-03
   82.0000  2.3206168E-03
   84.0000  2.3452347E-03
   86.0000  2.3574438E-03
   88.0000  2.3556148E-03
   90.0000  2.3403384E-03
   92.0000  2.3144063E-03
   94.0000  2.2823297E-03
   96.0000  2.2492540E-03
   98.0000  2.2194924E-03
   100.000  2.1953886E-03
