    Energy    <xanes>    
  -10.0000  3.2098160E-05
  -9.00000  3.5336882E-05
  -8.00000  3.9311759E-05
  -7.00000  4.4315307E-05
  -6.00000  5.0824823E-05
  -5.00000  5.9680408E-05
  -4.00000  7.2521922E-05
  -3.00000  9.3065629E-05
  -2.00000  1.3195146E-04
  -1.00000  2.3536853E-04
   0.00000  7.5225346E-04
   0.50000  1.1277410E-03
   1.00000  1.2606980E-03
   1.50000  1.2747596E-03
   2.00000  1.2546682E-03
   2.50000  1.2507971E-03
   3.00000  1.2816318E-03
   3.50000  1.3249366E-03
   4.00000  1.3814441E-03
   4.50000  1.4735639E-03
   5.00000  1.6264934E-03
   5.50000  1.8534963E-03
   6.00000  2.1283395E-03
   6.50000  2.3922606E-03
   7.00000  2.6090994E-03
   7.50000  2.7625446E-03
   8.00000  2.8346408E-03
   8.50000  2.8287093E-03
   9.00000  2.7976091E-03
   9.50000  2.7821254E-03
   10.0000  2.7530566E-03
   11.0000  2.6363790E-03
   12.0000  2.6551672E-03
   13.0000  2.6621365E-03
   14.0000  2.4520267E-03
   15.0000  2.1477781E-03
   16.0000  1.9226174E-03
   17.0000  1.8102819E-03
   18.0000  1.7785496E-03
   19.0000  1.7880219E-03
   20.0000  1.8108662E-03
   21.0000  1.8358984E-03
   22.0000  1.8627209E-03
   23.0000  1.8925512E-03
   24.0000  1.9243723E-03
   25.0000  1.9567647E-03
   26.0000  1.9903833E-03
   27.0000  2.0277588E-03
   28.0000  2.0712596E-03
   29.0000  2.1216095E-03
   30.0000  2.1780173E-03
   31.0000  2.2391118E-03
   32.0000  2.3031997E-03
   33.0000  2.3672430E-03
   34.0000  2.4256012E-03
   35.0000  2.4703060E-03
   36.0000  2.4934921E-03
   37.0000  2.4906131E-03
   38.0000  2.4622259E-03
   39.0000  2.4133615E-03
   40.0000  2.3513953E-03
   41.0000  2.2839609E-03
   42.0000  2.2177010E-03
   43.0000  2.1577471E-03
   44.0000  2.1075532E-03
   45.0000  2.0688916E-03
   46.0000  2.0419903E-03
   47.0000  2.0258112E-03
   48.0000  2.0184306E-03
   49.0000  2.0174667E-03
   50.0000  2.0205039E-03
   52.0000  2.0308358E-03
   54.0000  2.0401275E-03
   56.0000  2.0475709E-03
   58.0000  2.0551967E-03
   60.0000  2.0643377E-03
   62.0000  2.0764119E-03
   64.0000  2.0938160E-03
   66.0000  2.1188149E-03
   68.0000  2.1522784E-03
   70.0000  2.1935987E-03
   72.0000  2.2408664E-03
   74.0000  2.2905584E-03
   76.0000  2.3374437E-03
   78.0000  2.3755328E-03
   80.0000  2.3997884E-03
   82.0000  2.4075376E-03
   84.0000  2.3989069E-03
   86.0000  2.3765043E-03
   88.0000  2.3448900E-03
   90.0000  2.3099168E-03
   92.0000  2.2775778E-03
   94.0000  2.2523934E-03
   96.0000  2.2361527E-03
   98.0000  2.2278140E-03
   100.000  2.2246174E-03
