    Energy    <xanes>    
  -10.0000  3.9034922E-05
  -9.00000  4.4499886E-05
  -8.00000  5.1906044E-05
  -7.00000  6.2588974E-05
  -6.00000  7.9519728E-05
  -5.00000  1.1093928E-04
  -4.00000  1.9092932E-04
  -3.00000  5.5249302E-04
  -2.00000  1.1029285E-03
  -1.00000  1.3549320E-03
   0.00000  1.2387485E-03
   0.50000  1.2485287E-03
   1.00000  1.2920097E-03
   1.50000  1.3300961E-03
   2.00000  1.3552436E-03
   2.50000  1.3613300E-03
   3.00000  1.3502079E-03
   3.50000  1.3354702E-03
   4.00000  1.3332990E-03
   4.50000  1.3546729E-03
   5.00000  1.3982041E-03
   5.50000  1.4605564E-03
   6.00000  1.5488761E-03
   6.50000  1.6739416E-03
   7.00000  1.8394189E-03
   7.50000  2.0309517E-03
   8.00000  2.2204215E-03
   8.50000  2.3830203E-03
   9.00000  2.5053643E-03
   9.50000  2.5811350E-03
   10.0000  2.6113266E-03
   11.0000  2.5950351E-03
   12.0000  2.5627935E-03
   13.0000  2.5370941E-03
   14.0000  2.5167426E-03
   15.0000  2.4287200E-03
   16.0000  2.2585330E-03
   17.0000  2.0786100E-03
   18.0000  1.9457365E-03
   19.0000  1.8705659E-03
   20.0000  1.8401915E-03
   21.0000  1.8372973E-03
   22.0000  1.8487784E-03
   23.0000  1.8676675E-03
   24.0000  1.8911886E-03
   25.0000  1.9181102E-03
   26.0000  1.9475425E-03
   27.0000  1.9791551E-03
   28.0000  2.0135430E-03
   29.0000  2.0518890E-03
   30.0000  2.0951561E-03
   31.0000  2.1435344E-03
   32.0000  2.1964588E-03
   33.0000  2.2528174E-03
   34.0000  2.3107314E-03
   35.0000  2.3668160E-03
   36.0000  2.4156867E-03
   37.0000  2.4506729E-03
   38.0000  2.4658433E-03
   39.0000  2.4582447E-03
   40.0000  2.4289488E-03
   41.0000  2.3824342E-03
   42.0000  2.3249968E-03
   43.0000  2.2631927E-03
   44.0000  2.2028228E-03
   45.0000  2.1484185E-03
   46.0000  2.1030254E-03
   47.0000  2.0681724E-03
   48.0000  2.0439995E-03
   49.0000  2.0295172E-03
   50.0000  2.0229515E-03
   52.0000  2.0248825E-03
   54.0000  2.0343280E-03
   56.0000  2.0434353E-03
   58.0000  2.0515173E-03
   60.0000  2.0599436E-03
   62.0000  2.0696216E-03
   64.0000  2.0819808E-03
   66.0000  2.0995426E-03
   68.0000  2.1246471E-03
   70.0000  2.1582360E-03
   72.0000  2.1996949E-03
   74.0000  2.2468838E-03
   76.0000  2.2959025E-03
   78.0000  2.3412561E-03
   80.0000  2.3769735E-03
   82.0000  2.3982787E-03
   84.0000  2.4028616E-03
   86.0000  2.3912186E-03
   88.0000  2.3663042E-03
   90.0000  2.3329335E-03
   92.0000  2.2969570E-03
   94.0000  2.2639692E-03
   96.0000  2.2377686E-03
   98.0000  2.2194094E-03
   100.000  2.2075567E-03
