    Energy    <xanes>    
  -10.0000  3.8825149E-05
  -9.00000  4.4220725E-05
  -8.00000  5.1517159E-05
  -7.00000  6.2009331E-05
  -6.00000  7.8556392E-05
  -5.00000  1.0898610E-04
  -4.00000  1.8480802E-04
  -3.00000  5.2191355E-04
  -2.00000  1.1079160E-03
  -1.00000  1.3220347E-03
   0.00000  1.2419016E-03
   0.50000  1.2525235E-03
   1.00000  1.3014517E-03
   1.50000  1.3374661E-03
   2.00000  1.3342987E-03
   2.50000  1.3190086E-03
   3.00000  1.3085405E-03
   3.50000  1.3112052E-03
   4.00000  1.3310183E-03
   4.50000  1.3693791E-03
   5.00000  1.4192723E-03
   5.50000  1.4795021E-03
   6.00000  1.5624878E-03
   6.50000  1.6812596E-03
   7.00000  1.8391212E-03
   7.50000  2.0227834E-03
   8.00000  2.2047916E-03
   8.50000  2.3603060E-03
   9.00000  2.4782870E-03
   9.50000  2.5552378E-03
   10.0000  2.5918673E-03
   11.0000  2.5952617E-03
   12.0000  2.5744495E-03
   13.0000  2.5443149E-03
   14.0000  2.5252861E-03
   15.0000  2.4477944E-03
   16.0000  2.2841255E-03
   17.0000  2.1004447E-03
   18.0000  1.9580650E-03
   19.0000  1.8734746E-03
   20.0000  1.8366629E-03
   21.0000  1.8307969E-03
   22.0000  1.8417084E-03
   23.0000  1.8608106E-03
   24.0000  1.8843086E-03
   25.0000  1.9110291E-03
   26.0000  1.9407137E-03
   27.0000  1.9734369E-03
   28.0000  2.0096021E-03
   29.0000  2.0497763E-03
   30.0000  2.0943015E-03
   31.0000  2.1430702E-03
   32.0000  2.1955941E-03
   33.0000  2.2510592E-03
   34.0000  2.3079745E-03
   35.0000  2.3634371E-03
   36.0000  2.4126169E-03
   37.0000  2.4492423E-03
   38.0000  2.4672839E-03
   39.0000  2.4630817E-03
   40.0000  2.4367031E-03
   41.0000  2.3918389E-03
   42.0000  2.3345276E-03
   43.0000  2.2715516E-03
   44.0000  2.2091764E-03
   45.0000  2.1524225E-03
   46.0000  2.1047491E-03
   47.0000  2.0680020E-03
   48.0000  2.0425398E-03
   49.0000  2.0274912E-03
   50.0000  2.0210992E-03
   52.0000  2.0252009E-03
   54.0000  2.0379698E-03
   56.0000  2.0498739E-03
   58.0000  2.0592292E-03
   60.0000  2.0672345E-03
   62.0000  2.0748123E-03
   64.0000  2.0834625E-03
   66.0000  2.0963230E-03
   68.0000  2.1169248E-03
   70.0000  2.1473648E-03
   72.0000  2.1876056E-03
   74.0000  2.2354594E-03
   76.0000  2.2865875E-03
   78.0000  2.3348179E-03
   80.0000  2.3733086E-03
   82.0000  2.3963914E-03
   84.0000  2.4012340E-03
   86.0000  2.3884979E-03
   88.0000  2.3619065E-03
   90.0000  2.3272246E-03
   92.0000  2.2909879E-03
   94.0000  2.2589922E-03
   96.0000  2.2347975E-03
   98.0000  2.2189686E-03
   100.000  2.2096415E-03
