    Energy    <xanes>    
  -10.0000  5.0126207E-05
  -9.00000  6.0205318E-05
  -8.00000  7.6485642E-05
  -7.00000  1.0937168E-04
  -6.00000  2.2199634E-04
  -5.00000  4.2335776E-04
  -4.00000  8.4842255E-04
  -3.00000  1.3354784E-03
  -2.00000  1.2071712E-03
  -1.00000  1.2411554E-03
   0.00000  1.2278635E-03
   0.50000  1.1444764E-03
   1.00000  1.1173346E-03
   1.50000  1.1700866E-03
   2.00000  1.2828696E-03
   2.50000  1.4131234E-03
   3.00000  1.5174121E-03
   3.50000  1.5974850E-03
   4.00000  1.6869222E-03
   4.50000  1.8094190E-03
   5.00000  1.9573145E-03
   5.50000  2.0998283E-03
   6.00000  2.2189684E-03
   6.50000  2.3223167E-03
   7.00000  2.4193193E-03
   7.50000  2.5065416E-03
   8.00000  2.5751859E-03
   8.50000  2.6222018E-03
   9.00000  2.6473424E-03
   9.50000  2.6522222E-03
   10.0000  2.6455781E-03
   11.0000  2.6293076E-03
   12.0000  2.5801966E-03
   13.0000  2.4347093E-03
   14.0000  2.2208233E-03
   15.0000  2.0201109E-03
   16.0000  1.8786308E-03
   17.0000  1.8007726E-03
   18.0000  1.7734560E-03
   19.0000  1.7808211E-03
   20.0000  1.8092960E-03
   21.0000  1.8485928E-03
   22.0000  1.8915988E-03
   23.0000  1.9339971E-03
   24.0000  1.9739586E-03
   25.0000  2.0117744E-03
   26.0000  2.0490592E-03
   27.0000  2.0877378E-03
   28.0000  2.1293662E-03
   29.0000  2.1749933E-03
   30.0000  2.2252502E-03
   31.0000  2.2800654E-03
   32.0000  2.3377139E-03
   33.0000  2.3937508E-03
   34.0000  2.4410191E-03
   35.0000  2.4714894E-03
   36.0000  2.4792336E-03
   37.0000  2.4627191E-03
   38.0000  2.4250688E-03
   39.0000  2.3724867E-03
   40.0000  2.3121083E-03
   41.0000  2.2503882E-03
   42.0000  2.1923577E-03
   43.0000  2.1414863E-03
   44.0000  2.0997838E-03
   45.0000  2.0679550E-03
   46.0000  2.0455936E-03
   47.0000  2.0314468E-03
   48.0000  2.0237546E-03
   49.0000  2.0206252E-03
   50.0000  2.0203818E-03
   52.0000  2.0241926E-03
   54.0000  2.0311109E-03
   56.0000  2.0408260E-03
   58.0000  2.0523105E-03
   60.0000  2.0644999E-03
   62.0000  2.0789660E-03
   64.0000  2.0992503E-03
   66.0000  2.1280869E-03
   68.0000  2.1661669E-03
   70.0000  2.2123365E-03
   72.0000  2.2636448E-03
   74.0000  2.3152997E-03
   76.0000  2.3613511E-03
   78.0000  2.3961791E-03
   80.0000  2.4159948E-03
   82.0000  2.4195617E-03
   84.0000  2.4080766E-03
   86.0000  2.3847157E-03
   88.0000  2.3541907E-03
   90.0000  2.3221044E-03
   92.0000  2.2937720E-03
   94.0000  2.2727613E-03
   96.0000  2.2600006E-03
   98.0000  2.2540355E-03
   100.000  2.2522290E-03
