    Energy    <xanes>    
  -10.0000  3.0346968E-05
  -9.00000  3.3419318E-05
  -8.00000  3.7219174E-05
  -7.00000  4.2058290E-05
  -6.00000  4.8466386E-05
  -5.00000  5.7428897E-05
  -4.00000  7.1027628E-05
  -3.00000  9.4587794E-05
  -2.00000  1.4687304E-04
  -1.00000  3.4831833E-04
   0.00000  9.4468326E-04
   0.50000  9.7988848E-04
   1.00000  9.9133677E-04
   1.50000  1.0366965E-03
   2.00000  1.0931239E-03
   2.50000  1.1568148E-03
   3.00000  1.2318519E-03
   3.50000  1.3117537E-03
   4.00000  1.3746743E-03
   4.50000  1.4111557E-03
   5.00000  1.4270940E-03
   5.50000  1.4166799E-03
   6.00000  1.3914254E-03
   6.50000  1.3893649E-03
   7.00000  1.4417292E-03
   7.50000  1.5652379E-03
   8.00000  1.7596593E-03
   8.50000  2.0050331E-03
   9.00000  2.2690887E-03
   9.50000  2.5132828E-03
   10.0000  2.6929235E-03
   11.0000  2.7861501E-03
   12.0000  2.6730876E-03
   13.0000  2.5649837E-03
   14.0000  2.5618622E-03
   15.0000  2.6306512E-03
   16.0000  2.5587934E-03
   17.0000  2.2975003E-03
   18.0000  2.0276334E-03
   19.0000  1.8542118E-03
   20.0000  1.7777955E-03
   21.0000  1.7672667E-03
   22.0000  1.7911469E-03
   23.0000  1.8267254E-03
   24.0000  1.8621542E-03
   25.0000  1.8935121E-03
   26.0000  1.9204882E-03
   27.0000  1.9443597E-03
   28.0000  1.9679543E-03
   29.0000  1.9952901E-03
   30.0000  2.0300920E-03
   31.0000  2.0742913E-03
   32.0000  2.1276286E-03
   33.0000  2.1883695E-03
   34.0000  2.2543098E-03
   35.0000  2.3230330E-03
   36.0000  2.3909512E-03
   37.0000  2.4519104E-03
   38.0000  2.4970831E-03
   39.0000  2.5172884E-03
   40.0000  2.5068394E-03
   41.0000  2.4663320E-03
   42.0000  2.4024202E-03
   43.0000  2.3250895E-03
   44.0000  2.2445521E-03
   45.0000  2.1692757E-03
   46.0000  2.1052218E-03
   47.0000  2.0557547E-03
   48.0000  2.0218688E-03
   49.0000  2.0026058E-03
   50.0000  1.9955728E-03
   52.0000  2.0048319E-03
   54.0000  2.0235065E-03
   56.0000  2.0366293E-03
   58.0000  2.0436793E-03
   60.0000  2.0486692E-03
   62.0000  2.0526322E-03
   64.0000  2.0560194E-03
   66.0000  2.0626258E-03
   68.0000  2.0780241E-03
   70.0000  2.1056833E-03
   72.0000  2.1459456E-03
   74.0000  2.1970640E-03
   76.0000  2.2554782E-03
   78.0000  2.3153105E-03
   80.0000  2.3685749E-03
   82.0000  2.4067675E-03
   84.0000  2.4233411E-03
   86.0000  2.4158756E-03
   88.0000  2.3867480E-03
   90.0000  2.3421679E-03
   92.0000  2.2904139E-03
   94.0000  2.2398300E-03
   96.0000  2.1967426E-03
   98.0000  2.1639556E-03
   100.000  2.1407831E-03
