    Energy    <xanes>    
  -10.0000  3.1868851E-05
  -9.00000  3.5282170E-05
  -8.00000  3.9552625E-05
  -7.00000  4.5067209E-05
  -6.00000  5.2498471E-05
  -5.00000  6.3140391E-05
  -4.00000  7.9890518E-05
  -3.00000  1.1109948E-04
  -2.00000  1.9601212E-04
  -1.00000  5.4633882E-04
   0.00000  7.7952614E-04
   0.50000  9.8719517E-04
   1.00000  1.2631295E-03
   1.50000  1.5392091E-03
   2.00000  1.6903315E-03
   2.50000  1.6868340E-03
   3.00000  1.6141543E-03
   3.50000  1.5840265E-03
   4.00000  1.6163481E-03
   4.50000  1.6469003E-03
   5.00000  1.6424757E-03
   5.50000  1.6290188E-03
   6.00000  1.6332182E-03
   6.50000  1.6386315E-03
   7.00000  1.6219073E-03
   7.50000  1.6033425E-03
   8.00000  1.6067334E-03
   8.50000  1.6396815E-03
   9.00000  1.7032435E-03
   9.50000  1.7984298E-03
   10.0000  1.9221654E-03
   11.0000  2.1873249E-03
   12.0000  2.3400728E-03
   13.0000  2.3618811E-03
   14.0000  2.3553646E-03
   15.0000  2.3616426E-03
   16.0000  2.3642226E-03
   17.0000  2.3512049E-03
   18.0000  2.3053967E-03
   19.0000  2.2247440E-03
   20.0000  2.1326599E-03
   21.0000  2.0551017E-03
   22.0000  2.0027560E-03
   23.0000  1.9728235E-03
   24.0000  1.9578080E-03
   25.0000  1.9515348E-03
   26.0000  1.9508847E-03
   27.0000  1.9550727E-03
   28.0000  1.9643807E-03
   29.0000  1.9792714E-03
   30.0000  1.9999773E-03
   31.0000  2.0263769E-03
   32.0000  2.0579688E-03
   33.0000  2.0938457E-03
   34.0000  2.1326981E-03
   35.0000  2.1729201E-03
   36.0000  2.2127896E-03
   37.0000  2.2505503E-03
   38.0000  2.2843038E-03
   39.0000  2.3118864E-03
   40.0000  2.3310214E-03
   41.0000  2.3398086E-03
   42.0000  2.3372962E-03
   43.0000  2.3238091E-03
   44.0000  2.3008911E-03
   45.0000  2.2709440E-03
   46.0000  2.2367753E-03
   47.0000  2.2012295E-03
   48.0000  2.1669498E-03
   49.0000  2.1362079E-03
   50.0000  2.1107468E-03
   52.0000  2.0792514E-03
   54.0000  2.0725703E-03
   56.0000  2.0821834E-03
   58.0000  2.0972509E-03
   60.0000  2.1100614E-03
   62.0000  2.1178696E-03
   64.0000  2.1219029E-03
   66.0000  2.1253514E-03
   68.0000  2.1316671E-03
   70.0000  2.1434577E-03
   72.0000  2.1619431E-03
   74.0000  2.1869400E-03
   76.0000  2.2170796E-03
   78.0000  2.2500131E-03
   80.0000  2.2826380E-03
   82.0000  2.3114358E-03
   84.0000  2.3329451E-03
   86.0000  2.3443780E-03
   88.0000  2.3442713E-03
   90.0000  2.3329450E-03
   92.0000  2.3125713E-03
   94.0000  2.2867607E-03
   96.0000  2.2596827E-03
   98.0000  2.2349354E-03
   100.000  2.2146343E-03
