    Energy    <xanes>    
  -10.0000  3.1733322E-05
  -9.00000  3.5063258E-05
  -8.00000  3.9194864E-05
  -7.00000  4.4465125E-05
  -6.00000  5.1432885E-05
  -5.00000  6.1097234E-05
  -4.00000  7.5434303E-05
  -3.00000  9.8956508E-05
  -2.00000  1.4452522E-04
  -1.00000  2.6628857E-04
   0.00000  8.6929152E-04
   0.50000  1.4399817E-03
   1.00000  1.7175692E-03
   1.50000  1.6908325E-03
   2.00000  1.5828653E-03
   2.50000  1.5307259E-03
   3.00000  1.5576158E-03
   3.50000  1.5842013E-03
   4.00000  1.5536538E-03
   4.50000  1.5237636E-03
   5.00000  1.5629493E-03
   5.50000  1.6377723E-03
   6.00000  1.6371837E-03
   6.50000  1.5891389E-03
   7.00000  1.5607975E-03
   7.50000  1.5726635E-03
   8.00000  1.6250555E-03
   8.50000  1.7149645E-03
   9.00000  1.8420815E-03
   9.50000  1.9980803E-03
   10.0000  2.1604802E-03
   11.0000  2.3955425E-03
   12.0000  2.4348443E-03
   13.0000  2.4133303E-03
   14.0000  2.4137124E-03
   15.0000  2.4236702E-03
   16.0000  2.4184834E-03
   17.0000  2.3670803E-03
   18.0000  2.2646801E-03
   19.0000  2.1482492E-03
   20.0000  2.0545710E-03
   21.0000  1.9956224E-03
   22.0000  1.9658901E-03
   23.0000  1.9538894E-03
   24.0000  1.9494878E-03
   25.0000  1.9475711E-03
   26.0000  1.9478744E-03
   27.0000  1.9525432E-03
   28.0000  1.9638004E-03
   29.0000  1.9827220E-03
   30.0000  2.0090440E-03
   31.0000  2.0415638E-03
   32.0000  2.0786319E-03
   33.0000  2.1184716E-03
   34.0000  2.1593692E-03
   35.0000  2.1997797E-03
   36.0000  2.2382466E-03
   37.0000  2.2731335E-03
   38.0000  2.3024212E-03
   39.0000  2.3238706E-03
   40.0000  2.3355567E-03
   41.0000  2.3364613E-03
   42.0000  2.3267642E-03
   43.0000  2.3077219E-03
   44.0000  2.2812957E-03
   45.0000  2.2497797E-03
   46.0000  2.2155738E-03
   47.0000  2.1810747E-03
   48.0000  2.1485701E-03
   49.0000  2.1200677E-03
   50.0000  2.0970837E-03
   52.0000  2.0704081E-03
   54.0000  2.0673480E-03
   56.0000  2.0790571E-03
   58.0000  2.0950031E-03
   60.0000  2.1078085E-03
   62.0000  2.1151312E-03
   64.0000  2.1188704E-03
   66.0000  2.1229429E-03
   68.0000  2.1310982E-03
   70.0000  2.1455870E-03
   72.0000  2.1668911E-03
   74.0000  2.1940965E-03
   76.0000  2.2252225E-03
   78.0000  2.2574326E-03
   80.0000  2.2874575E-03
   82.0000  2.3121615E-03
   84.0000  2.3289492E-03
   86.0000  2.3359918E-03
   88.0000  2.3324818E-03
   90.0000  2.3189960E-03
   92.0000  2.2977392E-03
   94.0000  2.2722744E-03
   96.0000  2.2465959E-03
   98.0000  2.2239121E-03
   100.000  2.2058151E-03
