    Energy    <xanes>    
  -10.0000  2.9339307E-05
  -9.00000  3.2237585E-05
  -8.00000  3.5805459E-05
  -7.00000  4.0320808E-05
  -6.00000  4.6246972E-05
  -5.00000  5.4421910E-05
  -4.00000  6.6538354E-05
  -3.00000  8.6605820E-05
  -2.00000  1.2680177E-04
  -1.00000  2.4453072E-04
   0.00000  8.9320475E-04
   0.50000  1.2303954E-03
   1.00000  1.1238906E-03
   1.50000  9.8478426E-04
   2.00000  9.6433773E-04
   2.50000  1.0257894E-03
   3.00000  1.1225327E-03
   3.50000  1.2470604E-03
   4.00000  1.3743943E-03
   4.50000  1.4618484E-03
   5.00000  1.4831098E-03
   5.50000  1.4587910E-03
   6.00000  1.4243351E-03
   6.50000  1.3811939E-03
   7.00000  1.3249388E-03
   7.50000  1.2903847E-03
   8.00000  1.3205934E-03
   8.50000  1.4386868E-03
   9.00000  1.6475200E-03
   9.50000  1.9288134E-03
   10.0000  2.2477417E-03
   11.0000  2.7732912E-03
   12.0000  2.8419197E-03
   13.0000  2.6690672E-03
   14.0000  2.5391130E-03
   15.0000  2.5205828E-03
   16.0000  2.5940606E-03
   17.0000  2.5391515E-03
   18.0000  2.2860408E-03
   19.0000  2.0216093E-03
   20.0000  1.8552044E-03
   21.0000  1.7860200E-03
   22.0000  1.7806082E-03
   23.0000  1.8058009E-03
   24.0000  1.8390396E-03
   25.0000  1.8705306E-03
   26.0000  1.8985266E-03
   27.0000  1.9234395E-03
   28.0000  1.9460466E-03
   29.0000  1.9684965E-03
   30.0000  1.9945161E-03
   31.0000  2.0278587E-03
   32.0000  2.0705304E-03
   33.0000  2.1222673E-03
   34.0000  2.1813138E-03
   35.0000  2.2454712E-03
   36.0000  2.3122845E-03
   37.0000  2.3780827E-03
   38.0000  2.4367911E-03
   39.0000  2.4800246E-03
   40.0000  2.4993335E-03
   41.0000  2.4897256E-03
   42.0000  2.4520856E-03
   43.0000  2.3927598E-03
   44.0000  2.3209456E-03
   45.0000  2.2459156E-03
   46.0000  2.1753616E-03
   47.0000  2.1147869E-03
   48.0000  2.0674056E-03
   49.0000  2.0342630E-03
   50.0000  2.0145354E-03
   52.0000  2.0055273E-03
   54.0000  2.0159710E-03
   56.0000  2.0262072E-03
   58.0000  2.0308795E-03
   60.0000  2.0336485E-03
   62.0000  2.0373104E-03
   64.0000  2.0421484E-03
   66.0000  2.0503366E-03
   68.0000  2.0665050E-03
   70.0000  2.0937097E-03
   72.0000  2.1315458E-03
   74.0000  2.1778199E-03
   76.0000  2.2298502E-03
   78.0000  2.2838337E-03
   80.0000  2.3341799E-03
   82.0000  2.3743416E-03
   84.0000  2.3986475E-03
   86.0000  2.4038699E-03
   88.0000  2.3898555E-03
   90.0000  2.3593599E-03
   92.0000  2.3175002E-03
   94.0000  2.2708955E-03
   96.0000  2.2261880E-03
   98.0000  2.1881595E-03
   100.000  2.1586014E-03
