    Energy    <xanes>    
  -10.0000  3.1054256E-05
  -9.00000  3.4297065E-05
  -8.00000  3.8327918E-05
  -7.00000  4.3488992E-05
  -6.00000  5.0363251E-05
  -5.00000  6.0041251E-05
  -4.00000  7.4862630E-05
  -3.00000  1.0109448E-04
  -2.00000  1.6423846E-04
  -1.00000  4.4447981E-04
   0.00000  6.7957299E-04
   0.50000  9.1300121E-04
   1.00000  1.2261716E-03
   1.50000  1.4697279E-03
   2.00000  1.5914086E-03
   2.50000  1.6475539E-03
   3.00000  1.6416539E-03
   3.50000  1.5992705E-03
   4.00000  1.5721259E-03
   4.50000  1.5461659E-03
   5.00000  1.5172416E-03
   5.50000  1.5227026E-03
   6.00000  1.5849595E-03
   6.50000  1.6737335E-03
   7.00000  1.7244042E-03
   7.50000  1.7198449E-03
   8.00000  1.6943589E-03
   8.50000  1.6816179E-03
   9.00000  1.7041597E-03
   9.50000  1.7707357E-03
   10.0000  1.8764751E-03
   11.0000  2.1422003E-03
   12.0000  2.3378701E-03
   13.0000  2.3722203E-03
   14.0000  2.3412656E-03
   15.0000  2.3265960E-03
   16.0000  2.3255980E-03
   17.0000  2.3306960E-03
   18.0000  2.3159967E-03
   19.0000  2.2579878E-03
   20.0000  2.1692690E-03
   21.0000  2.0831177E-03
   22.0000  2.0202217E-03
   23.0000  1.9823758E-03
   24.0000  1.9626708E-03
   25.0000  1.9539251E-03
   26.0000  1.9517075E-03
   27.0000  1.9541637E-03
   28.0000  1.9608963E-03
   29.0000  1.9721530E-03
   30.0000  1.9885086E-03
   31.0000  2.0106928E-03
   32.0000  2.0392617E-03
   33.0000  2.0741220E-03
   34.0000  2.1141853E-03
   35.0000  2.1574389E-03
   36.0000  2.2014179E-03
   37.0000  2.2437137E-03
   38.0000  2.2821123E-03
   39.0000  2.3143527E-03
   40.0000  2.3379440E-03
   41.0000  2.3504363E-03
   42.0000  2.3500938E-03
   43.0000  2.3365685E-03
   44.0000  2.3111811E-03
   45.0000  2.2766800E-03
   46.0000  2.2366601E-03
   47.0000  2.1949383E-03
   48.0000  2.1550768E-03
   49.0000  2.1200648E-03
   50.0000  2.0921024E-03
   52.0000  2.0614459E-03
   54.0000  2.0620309E-03
   56.0000  2.0814446E-03
   58.0000  2.1044572E-03
   60.0000  2.1209716E-03
   62.0000  2.1283784E-03
   64.0000  2.1290125E-03
   66.0000  2.1267811E-03
   68.0000  2.1258439E-03
   70.0000  2.1301701E-03
   72.0000  2.1425861E-03
   74.0000  2.1641108E-03
   76.0000  2.1940355E-03
   78.0000  2.2301623E-03
   80.0000  2.2688979E-03
   82.0000  2.3054131E-03
   84.0000  2.3342088E-03
   86.0000  2.3503135E-03
   88.0000  2.3508095E-03
   90.0000  2.3358517E-03
   92.0000  2.3085928E-03
   94.0000  2.2741614E-03
   96.0000  2.2381984E-03
   98.0000  2.2053938E-03
   100.000  2.1784492E-03
