    Energy    <xanes>    
  -10.0000  3.1381804E-05
  -9.00000  3.4655837E-05
  -8.00000  3.8734837E-05
  -7.00000  4.3979854E-05
  -6.00000  5.1018750E-05
  -5.00000  6.1057903E-05
  -4.00000  7.6771339E-05
  -3.00000  1.0555860E-04
  -2.00000  1.7767539E-04
  -1.00000  5.2307057E-04
   0.00000  9.6579441E-04
   0.50000  9.8536715E-04
   1.00000  1.0240931E-03
   1.50000  1.0872827E-03
   2.00000  1.1548535E-03
   2.50000  1.2281367E-03
   3.00000  1.3025058E-03
   3.50000  1.3550897E-03
   4.00000  1.3692078E-03
   4.50000  1.3671503E-03
   5.00000  1.3766044E-03
   5.50000  1.3927566E-03
   6.00000  1.4114660E-03
   6.50000  1.4547600E-03
   7.00000  1.5515304E-03
   7.50000  1.7156575E-03
   8.00000  1.9367744E-03
   8.50000  2.1833750E-03
   9.00000  2.4233738E-03
   9.50000  2.6263334E-03
   10.0000  2.7535911E-03
   11.0000  2.7942419E-03
   12.0000  2.7381463E-03
   13.0000  2.6273702E-03
   14.0000  2.6280538E-03
   15.0000  2.6547961E-03
   16.0000  2.5059542E-03
   17.0000  2.2202598E-03
   18.0000  1.9718015E-03
   19.0000  1.8271884E-03
   20.0000  1.7706733E-03
   21.0000  1.7695317E-03
   22.0000  1.7955412E-03
   23.0000  1.8301886E-03
   24.0000  1.8646062E-03
   25.0000  1.8959984E-03
   26.0000  1.9241357E-03
   27.0000  1.9503644E-03
   28.0000  1.9776890E-03
   29.0000  2.0098753E-03
   30.0000  2.0497344E-03
   31.0000  2.0980110E-03
   32.0000  2.1536080E-03
   33.0000  2.2146647E-03
   34.0000  2.2793891E-03
   35.0000  2.3457265E-03
   36.0000  2.4099178E-03
   37.0000  2.4652378E-03
   38.0000  2.5025996E-03
   39.0000  2.5135371E-03
   40.0000  2.4940101E-03
   41.0000  2.4464298E-03
   42.0000  2.3786085E-03
   43.0000  2.3007428E-03
   44.0000  2.2225364E-03
   45.0000  2.1515944E-03
   46.0000  2.0929286E-03
   47.0000  2.0490334E-03
   48.0000  2.0202196E-03
   49.0000  2.0050785E-03
   50.0000  2.0009948E-03
   52.0000  2.0126605E-03
   54.0000  2.0304433E-03
   56.0000  2.0418434E-03
   58.0000  2.0480715E-03
   60.0000  2.0531446E-03
   62.0000  2.0572644E-03
   64.0000  2.0605213E-03
   66.0000  2.0669118E-03
   68.0000  2.0821489E-03
   70.0000  2.1096753E-03
   72.0000  2.1498350E-03
   74.0000  2.2008206E-03
   76.0000  2.2587778E-03
   78.0000  2.3173911E-03
   80.0000  2.3684326E-03
   82.0000  2.4036843E-03
   84.0000  2.4173943E-03
   86.0000  2.4080355E-03
   88.0000  2.3786513E-03
   90.0000  2.3359066E-03
   92.0000  2.2882933E-03
   94.0000  2.2438790E-03
   96.0000  2.2081490E-03
   98.0000  2.1828037E-03
   100.000  2.1662316E-03
