    Energy    <xanes>    
  -10.0000  3.0339479E-05
  -9.00000  3.3289971E-05
  -8.00000  3.6892756E-05
  -7.00000  4.1400880E-05
  -6.00000  4.7223063E-05
  -5.00000  5.5068955E-05
  -4.00000  6.6297953E-05
  -3.00000  8.3910709E-05
  -2.00000  1.1619102E-04
  -1.00000  1.9747664E-04
   0.00000  5.7431035E-04
   0.50000  8.4188875E-04
   1.00000  1.0225142E-03
   1.50000  1.2118390E-03
   2.00000  1.3954484E-03
   2.50000  1.5047261E-03
   3.00000  1.4893794E-03
   3.50000  1.3969568E-03
   4.00000  1.3079047E-03
   4.50000  1.2771573E-03
   5.00000  1.3026350E-03
   5.50000  1.3601528E-03
   6.00000  1.4412244E-03
   6.50000  1.5598763E-03
   7.00000  1.7359736E-03
   7.50000  1.9685629E-03
   8.00000  2.2172145E-03
   8.50000  2.4253921E-03
   9.00000  2.5736048E-03
   9.50000  2.6707021E-03
   10.0000  2.7214257E-03
   11.0000  2.7317247E-03
   12.0000  2.6884039E-03
   13.0000  2.5786831E-03
   14.0000  2.5281009E-03
   15.0000  2.4670448E-03
   16.0000  2.3213050E-03
   17.0000  2.1392699E-03
   18.0000  1.9928142E-03
   19.0000  1.9057269E-03
   20.0000  1.8668808E-03
   21.0000  1.8555947E-03
   22.0000  1.8559608E-03
   23.0000  1.8618767E-03
   24.0000  1.8740771E-03
   25.0000  1.8943610E-03
   26.0000  1.9225281E-03
   27.0000  1.9569050E-03
   28.0000  1.9959654E-03
   29.0000  2.0389232E-03
   30.0000  2.0852989E-03
   31.0000  2.1344951E-03
   32.0000  2.1858463E-03
   33.0000  2.2387044E-03
   34.0000  2.2919790E-03
   35.0000  2.3432329E-03
   36.0000  2.3881591E-03
   37.0000  2.4212117E-03
   38.0000  2.4373238E-03
   39.0000  2.4337778E-03
   40.0000  2.4111343E-03
   41.0000  2.3728130E-03
   42.0000  2.3238434E-03
   43.0000  2.2696227E-03
   44.0000  2.2151186E-03
   45.0000  2.1644573E-03
   46.0000  2.1206951E-03
   47.0000  2.0856901E-03
   48.0000  2.0600981E-03
   49.0000  2.0435109E-03
   50.0000  2.0347089E-03
   52.0000  2.0334171E-03
   54.0000  2.0421207E-03
   56.0000  2.0514228E-03
   58.0000  2.0586609E-03
   60.0000  2.0651931E-03
   62.0000  2.0733635E-03
   64.0000  2.0854178E-03
   66.0000  2.1032168E-03
   68.0000  2.1278064E-03
   70.0000  2.1591422E-03
   72.0000  2.1961551E-03
   74.0000  2.2368374E-03
   76.0000  2.2781947E-03
   78.0000  2.3163536E-03
   80.0000  2.3471320E-03
   82.0000  2.3669687E-03
   84.0000  2.3737839E-03
   86.0000  2.3674250E-03
   88.0000  2.3496761E-03
   90.0000  2.3239900E-03
   92.0000  2.2949464E-03
   94.0000  2.2672772E-03
   96.0000  2.2445569E-03
   98.0000  2.2281876E-03
   100.000  2.2174143E-03
