    Energy    <xanes>    
  -10.0000  2.8932449E-05
  -9.00000  3.1783788E-05
  -8.00000  3.5293938E-05
  -7.00000  3.9736435E-05
  -6.00000  4.5567032E-05
  -5.00000  5.3608350E-05
  -4.00000  6.5515030E-05
  -3.00000  8.5171504E-05
  -2.00000  1.2415670E-04
  -1.00000  2.3488156E-04
   0.00000  8.3375929E-04
   0.50000  1.2822278E-03
   1.00000  1.2546850E-03
   1.50000  1.0686451E-03
   2.00000  9.6410757E-04
   2.50000  9.6445009E-04
   3.00000  1.0179676E-03
   3.50000  1.1005986E-03
   4.00000  1.2076326E-03
   4.50000  1.3182576E-03
   5.00000  1.4009235E-03
   5.50000  1.4414906E-03
   6.00000  1.4531735E-03
   6.50000  1.4416785E-03
   7.00000  1.3987634E-03
   7.50000  1.3478516E-03
   8.00000  1.3372303E-03
   8.50000  1.3997001E-03
   9.00000  1.5461037E-03
   9.50000  1.7705417E-03
   10.0000  2.0524889E-03
   11.0000  2.6253511E-03
   12.0000  2.8375675E-03
   13.0000  2.6562716E-03
   14.0000  2.5282180E-03
   15.0000  2.4793838E-03
   16.0000  2.5405618E-03
   17.0000  2.5430274E-03
   18.0000  2.3468164E-03
   19.0000  2.0828275E-03
   20.0000  1.8911374E-03
   21.0000  1.7990043E-03
   22.0000  1.7799948E-03
   23.0000  1.7996573E-03
   24.0000  1.8310333E-03
   25.0000  1.8604576E-03
   26.0000  1.8851508E-03
   27.0000  1.9062775E-03
   28.0000  1.9251587E-03
   29.0000  1.9438943E-03
   30.0000  1.9664022E-03
   31.0000  1.9972962E-03
   32.0000  2.0395776E-03
   33.0000  2.0932562E-03
   34.0000  2.1557613E-03
   35.0000  2.2235329E-03
   36.0000  2.2934107E-03
   37.0000  2.3625272E-03
   38.0000  2.4266587E-03
   39.0000  2.4786763E-03
   40.0000  2.5092351E-03
   41.0000  2.5102620E-03
   42.0000  2.4791572E-03
   43.0000  2.4205079E-03
   44.0000  2.3441411E-03
   45.0000  2.2613985E-03
   46.0000  2.1821852E-03
   47.0000  2.1136711E-03
   48.0000  2.0601018E-03
   49.0000  2.0230618E-03
   50.0000  2.0019177E-03
   52.0000  1.9969337E-03
   54.0000  2.0169044E-03
   56.0000  2.0354424E-03
   58.0000  2.0429369E-03
   60.0000  2.0444737E-03
   62.0000  2.0457601E-03
   64.0000  2.0471806E-03
   66.0000  2.0491528E-03
   68.0000  2.0560982E-03
   70.0000  2.0733368E-03
   72.0000  2.1031396E-03
   74.0000  2.1449399E-03
   76.0000  2.1968778E-03
   78.0000  2.2554774E-03
   80.0000  2.3145041E-03
   82.0000  2.3652223E-03
   84.0000  2.3986053E-03
   86.0000  2.4083914E-03
   88.0000  2.3932401E-03
   90.0000  2.3569557E-03
   92.0000  2.3070709E-03
   94.0000  2.2526432E-03
   96.0000  2.2018479E-03
   98.0000  2.1598848E-03
   100.000  2.1281208E-03
