    Energy    <xanes>    
  -10.0000  3.4268672E-04
  -9.00000  5.7568209E-04
  -8.00000  1.0779504E-03
  -7.00000  1.9103986E-03
  -6.00000  2.1485140E-03
  -5.00000  1.5555580E-03
  -4.00000  1.1459687E-03
  -3.00000  1.0457030E-03
  -2.00000  1.2062508E-03
  -1.00000  1.5861508E-03
   0.00000  2.0487891E-03
   0.50000  2.2496214E-03
   1.00000  2.4056210E-03
   1.50000  2.5049571E-03
   2.00000  2.5472980E-03
   2.50000  2.5482495E-03
   3.00000  2.5338990E-03
   3.50000  2.5284580E-03
   4.00000  2.5439706E-03
   4.50000  2.5781516E-03
   5.00000  2.6200237E-03
   5.50000  2.6567942E-03
   6.00000  2.6769502E-03
   6.50000  2.6710750E-03
   7.00000  2.6331064E-03
   7.50000  2.5621799E-03
   8.00000  2.4635056E-03
   8.50000  2.3471043E-03
   9.00000  2.2248479E-03
   9.50000  2.1074139E-03
   10.0000  2.0024842E-03
   11.0000  1.8447638E-03
   12.0000  1.7581303E-03
   13.0000  1.7289085E-03
   14.0000  1.7390251E-03
   15.0000  1.7724472E-03
   16.0000  1.8171940E-03
   17.0000  1.8660563E-03
   18.0000  1.9162411E-03
   19.0000  1.9675044E-03
   20.0000  2.0197258E-03
   21.0000  2.0716849E-03
   22.0000  2.1216701E-03
   23.0000  2.1687772E-03
   24.0000  2.2133618E-03
   25.0000  2.2563252E-03
   26.0000  2.2979816E-03
   27.0000  2.3372151E-03
   28.0000  2.3712685E-03
   29.0000  2.3963321E-03
   30.0000  2.4088124E-03
   31.0000  2.4066702E-03
   32.0000  2.3900844E-03
   33.0000  2.3612132E-03
   34.0000  2.3234314E-03
   35.0000  2.2805328E-03
   36.0000  2.2361149E-03
   37.0000  2.1931533E-03
   38.0000  2.1537534E-03
   39.0000  2.1190878E-03
   40.0000  2.0895096E-03
   41.0000  2.0647854E-03
   42.0000  2.0443679E-03
   43.0000  2.0276395E-03
   44.0000  2.0140885E-03
   45.0000  2.0033987E-03
   46.0000  1.9954555E-03
   47.0000  1.9902810E-03
   48.0000  1.9879297E-03
   49.0000  1.9883841E-03
   50.0000  1.9914921E-03
   52.0000  2.0044689E-03
   54.0000  2.0243838E-03
   56.0000  2.0501958E-03
   58.0000  2.0823696E-03
   60.0000  2.1209695E-03
   62.0000  2.1644061E-03
   64.0000  2.2096918E-03
   66.0000  2.2532644E-03
   68.0000  2.2916974E-03
   70.0000  2.3222927E-03
   72.0000  2.3435953E-03
   74.0000  2.3556662E-03
   76.0000  2.3599270E-03
   78.0000  2.3585565E-03
   80.0000  2.3536834E-03
   82.0000  2.3467631E-03
   84.0000  2.3384072E-03
   86.0000  2.3286467E-03
   88.0000  2.3173830E-03
   90.0000  2.3047541E-03
   92.0000  2.2912679E-03
   94.0000  2.2777192E-03
   96.0000  2.2649919E-03
   98.0000  2.2538472E-03
   100.000  2.2447490E-03
