    Energy    <xanes>    
  -10.0000  4.0851426E-05
  -9.00000  4.6797077E-05
  -8.00000  5.4968411E-05
  -7.00000  6.7008814E-05
  -6.00000  8.6765605E-05
  -5.00000  1.2579405E-04
  -4.00000  2.3883263E-04
  -3.00000  7.8746476E-04
  -2.00000  1.1979987E-03
  -1.00000  1.2249704E-03
   0.00000  1.2243895E-03
   0.50000  1.2063899E-03
   1.00000  1.1981495E-03
   1.50000  1.2027780E-03
   2.00000  1.2334364E-03
   2.50000  1.2914954E-03
   3.00000  1.3598192E-03
   3.50000  1.4170217E-03
   4.00000  1.4574594E-03
   4.50000  1.5028615E-03
   5.00000  1.5852543E-03
   5.50000  1.7228193E-03
   6.00000  1.9096896E-03
   6.50000  2.1215003E-03
   7.00000  2.3295783E-03
   7.50000  2.5079263E-03
   8.00000  2.6348100E-03
   8.50000  2.6978770E-03
   9.00000  2.7075414E-03
   9.50000  2.6941210E-03
   10.0000  2.6763535E-03
   11.0000  2.6403456E-03
   12.0000  2.6469080E-03
   13.0000  2.6407369E-03
   14.0000  2.4922916E-03
   15.0000  2.2335748E-03
   16.0000  1.9990909E-03
   17.0000  1.8501454E-03
   18.0000  1.7810877E-03
   19.0000  1.7674746E-03
   20.0000  1.7854565E-03
   21.0000  1.8175554E-03
   22.0000  1.8535412E-03
   23.0000  1.8884954E-03
   24.0000  1.9207283E-03
   25.0000  1.9508854E-03
   26.0000  1.9814083E-03
   27.0000  2.0154453E-03
   28.0000  2.0554808E-03
   29.0000  2.1024842E-03
   30.0000  2.1559865E-03
   31.0000  2.2147977E-03
   32.0000  2.2775739E-03
   33.0000  2.3424657E-03
   34.0000  2.4058588E-03
   35.0000  2.4613224E-03
   36.0000  2.5002309E-03
   37.0000  2.5144785E-03
   38.0000  2.4999101E-03
   39.0000  2.4582127E-03
   40.0000  2.3961247E-03
   41.0000  2.3228572E-03
   42.0000  2.2474970E-03
   43.0000  2.1774272E-03
   44.0000  2.1177423E-03
   45.0000  2.0712336E-03
   46.0000  2.0386435E-03
   47.0000  2.0190569E-03
   48.0000  2.0103645E-03
   49.0000  2.0097599E-03
   50.0000  2.0142461E-03
   52.0000  2.0283321E-03
   54.0000  2.0400842E-03
   56.0000  2.0486775E-03
   58.0000  2.0567952E-03
   60.0000  2.0645265E-03
   62.0000  2.0715866E-03
   64.0000  2.0810076E-03
   66.0000  2.0979312E-03
   68.0000  2.1260551E-03
   70.0000  2.1662655E-03
   72.0000  2.2169318E-03
   74.0000  2.2739054E-03
   76.0000  2.3305778E-03
   78.0000  2.3790070E-03
   80.0000  2.4119800E-03
   82.0000  2.4250468E-03
   84.0000  2.4176435E-03
   86.0000  2.3930150E-03
   88.0000  2.3572514E-03
   90.0000  2.3178849E-03
   92.0000  2.2821925E-03
   94.0000  2.2553691E-03
   96.0000  2.2392417E-03
   98.0000  2.2322768E-03
   100.000  2.2309756E-03
