    Energy    <xanes>    
  -10.0000  3.1259332E-05
  -9.00000  3.4420698E-05
  -8.00000  3.8299458E-05
  -7.00000  4.3174741E-05
  -6.00000  4.9493572E-05
  -5.00000  5.8020562E-05
  -4.00000  7.0184151E-05
  -3.00000  8.9009491E-05
  -2.00000  1.2228305E-04
  -1.00000  1.9848315E-04
   0.00000  5.0402089E-04
   0.50000  8.2676901E-04
   1.00000  1.1373268E-03
   1.50000  1.4525387E-03
   2.00000  1.7570231E-03
   2.50000  1.9447522E-03
   3.00000  2.0222008E-03
   3.50000  2.0328791E-03
   4.00000  2.0061850E-03
   4.50000  1.9195245E-03
   5.00000  1.7911955E-03
   5.50000  1.6805723E-03
   6.00000  1.6655016E-03
   6.50000  1.7423107E-03
   7.00000  1.8071387E-03
   7.50000  1.8339311E-03
   8.00000  1.8438339E-03
   8.50000  1.8543949E-03
   9.00000  1.8776324E-03
   9.50000  1.9238318E-03
   10.0000  1.9993350E-03
   11.0000  2.1973965E-03
   12.0000  2.3057378E-03
   13.0000  2.2704569E-03
   14.0000  2.2355013E-03
   15.0000  2.2462348E-03
   16.0000  2.2733836E-03
   17.0000  2.2947956E-03
   18.0000  2.2843424E-03
   19.0000  2.2317152E-03
   20.0000  2.1585167E-03
   21.0000  2.0921537E-03
   22.0000  2.0444898E-03
   23.0000  2.0140361E-03
   24.0000  1.9952816E-03
   25.0000  1.9842066E-03
   26.0000  1.9791400E-03
   27.0000  1.9796056E-03
   28.0000  1.9854232E-03
   29.0000  1.9965595E-03
   30.0000  2.0131438E-03
   31.0000  2.0352482E-03
   32.0000  2.0625277E-03
   33.0000  2.0939797E-03
   34.0000  2.1279698E-03
   35.0000  2.1624986E-03
   36.0000  2.1955611E-03
   37.0000  2.2254088E-03
   38.0000  2.2506114E-03
   39.0000  2.2699965E-03
   40.0000  2.2826332E-03
   41.0000  2.2879195E-03
   42.0000  2.2856860E-03
   43.0000  2.2762337E-03
   44.0000  2.2603177E-03
   45.0000  2.2391165E-03
   46.0000  2.2141930E-03
   47.0000  2.1874204E-03
   48.0000  2.1608494E-03
   49.0000  2.1365103E-03
   50.0000  2.1161778E-03
   52.0000  2.0921022E-03
   54.0000  2.0912109E-03
   56.0000  2.1066936E-03
   58.0000  2.1275928E-03
   60.0000  2.1447422E-03
   62.0000  2.1538324E-03
   64.0000  2.1555383E-03
   66.0000  2.1536272E-03
   68.0000  2.1525751E-03
   70.0000  2.1559889E-03
   72.0000  2.1659688E-03
   74.0000  2.1830235E-03
   76.0000  2.2062028E-03
   78.0000  2.2333394E-03
   80.0000  2.2614303E-03
   82.0000  2.2871022E-03
   84.0000  2.3070868E-03
   86.0000  2.3187135E-03
   88.0000  2.3204060E-03
   90.0000  2.3121023E-03
   92.0000  2.2954445E-03
   94.0000  2.2735256E-03
   96.0000  2.2501001E-03
   98.0000  2.2284902E-03
   100.000  2.2106942E-03
