    Energy    <xanes>    
  -10.0000  4.2342211E-05
  -9.00000  4.8770460E-05
  -8.00000  5.7721428E-05
  -7.00000  7.1160370E-05
  -6.00000  9.3866764E-05
  -5.00000  1.4112367E-04
  -4.00000  2.9428876E-04
  -3.00000  9.6998412E-04
  -2.00000  1.2286709E-03
  -1.00000  1.2581196E-03
   0.00000  1.2814238E-03
   0.50000  1.2905087E-03
   1.00000  1.2922213E-03
   1.50000  1.2851591E-03
   2.00000  1.2731001E-03
   2.50000  1.2768159E-03
   3.00000  1.3179247E-03
   3.50000  1.3808956E-03
   4.00000  1.4455964E-03
   4.50000  1.5176059E-03
   5.00000  1.6259546E-03
   5.50000  1.7888161E-03
   6.00000  1.9940938E-03
   6.50000  2.2101931E-03
   7.00000  2.4096046E-03
   7.50000  2.5714587E-03
   8.00000  2.6789696E-03
   8.50000  2.7270062E-03
   9.00000  2.7340768E-03
   9.50000  2.7277004E-03
   10.0000  2.7138928E-03
   11.0000  2.6695445E-03
   12.0000  2.6681236E-03
   13.0000  2.6237661E-03
   14.0000  2.4319045E-03
   15.0000  2.1678757E-03
   16.0000  1.9532373E-03
   17.0000  1.8268854E-03
   18.0000  1.7744165E-03
   19.0000  1.7702911E-03
   20.0000  1.7925516E-03
   21.0000  1.8266656E-03
   22.0000  1.8646265E-03
   23.0000  1.9021069E-03
   24.0000  1.9367931E-03
   25.0000  1.9685555E-03
   26.0000  1.9995956E-03
   27.0000  2.0332812E-03
   28.0000  2.0724339E-03
   29.0000  2.1183576E-03
   30.0000  2.1709561E-03
   31.0000  2.2293733E-03
   32.0000  2.2922432E-03
   33.0000  2.3569753E-03
   34.0000  2.4185366E-03
   35.0000  2.4691585E-03
   36.0000  2.5000958E-03
   37.0000  2.5048942E-03
   38.0000  2.4820978E-03
   39.0000  2.4356473E-03
   40.0000  2.3730750E-03
   41.0000  2.3029844E-03
   42.0000  2.2331347E-03
   43.0000  2.1694913E-03
   44.0000  2.1159586E-03
   45.0000  2.0744527E-03
   46.0000  2.0451517E-03
   47.0000  2.0268693E-03
   48.0000  2.0175148E-03
   49.0000  2.0145856E-03
   50.0000  2.0156341E-03
   52.0000  2.0222568E-03
   54.0000  2.0292098E-03
   56.0000  2.0364094E-03
   58.0000  2.0451980E-03
   60.0000  2.0553400E-03
   62.0000  2.0673584E-03
   64.0000  2.0841377E-03
   66.0000  2.1090154E-03
   68.0000  2.1435493E-03
   70.0000  2.1872195E-03
   72.0000  2.2378135E-03
   74.0000  2.2913388E-03
   76.0000  2.3420959E-03
   78.0000  2.3837305E-03
   80.0000  2.4109624E-03
   82.0000  2.4209443E-03
   84.0000  2.4136281E-03
   86.0000  2.3914457E-03
   88.0000  2.3588842E-03
   90.0000  2.3219612E-03
   92.0000  2.2870849E-03
   94.0000  2.2592654E-03
   96.0000  2.2406409E-03
   98.0000  2.2303135E-03
   100.000  2.2255404E-03
