    Energy    <xanes>    
  -10.0000  3.0923047E-05
  -9.00000  3.4130156E-05
  -8.00000  3.8109856E-05
  -7.00000  4.3193547E-05
  -6.00000  4.9942025E-05
  -5.00000  5.9394479E-05
  -4.00000  7.3750374E-05
  -3.00000  9.8789722E-05
  -2.00000  1.5749526E-04
  -1.00000  4.0299376E-04
   0.00000  6.4874056E-04
   0.50000  9.0649293E-04
   1.00000  1.2516639E-03
   1.50000  1.5298706E-03
   2.00000  1.6462159E-03
   2.50000  1.6607310E-03
   3.00000  1.6316467E-03
   3.50000  1.5946104E-03
   4.00000  1.5731097E-03
   4.50000  1.5434303E-03
   5.00000  1.5065940E-03
   5.50000  1.4999949E-03
   6.00000  1.5496736E-03
   6.50000  1.6221462E-03
   7.00000  1.6531443E-03
   7.50000  1.6436329E-03
   8.00000  1.6309989E-03
   8.50000  1.6426687E-03
   9.00000  1.6891434E-03
   9.50000  1.7722664E-03
   10.0000  1.8890044E-03
   11.0000  2.1655142E-03
   12.0000  2.3556657E-03
   13.0000  2.3886988E-03
   14.0000  2.3611535E-03
   15.0000  2.3464951E-03
   16.0000  2.3423442E-03
   17.0000  2.3388360E-03
   18.0000  2.3121672E-03
   19.0000  2.2456295E-03
   20.0000  2.1555886E-03
   21.0000  2.0725682E-03
   22.0000  2.0138515E-03
   23.0000  1.9797064E-03
   24.0000  1.9626128E-03
   25.0000  1.9550986E-03
   26.0000  1.9528083E-03
   27.0000  1.9543533E-03
   28.0000  1.9600233E-03
   29.0000  1.9706621E-03
   30.0000  1.9870701E-03
   31.0000  2.0097645E-03
   32.0000  2.0388144E-03
   33.0000  2.0736432E-03
   34.0000  2.1129341E-03
   35.0000  2.1548066E-03
   36.0000  2.1971973E-03
   37.0000  2.2381428E-03
   38.0000  2.2757182E-03
   39.0000  2.3077607E-03
   40.0000  2.3317781E-03
   41.0000  2.3453032E-03
   42.0000  2.3465615E-03
   43.0000  2.3350925E-03
   44.0000  2.3120110E-03
   45.0000  2.2798038E-03
   46.0000  2.2418066E-03
   47.0000  2.2016219E-03
   48.0000  2.1626630E-03
   49.0000  2.1278462E-03
   50.0000  2.0993792E-03
   52.0000  2.0660182E-03
   54.0000  2.0628816E-03
   56.0000  2.0793343E-03
   58.0000  2.1012494E-03
   60.0000  2.1182245E-03
   62.0000  2.1265863E-03
   64.0000  2.1279726E-03
   66.0000  2.1262105E-03
   68.0000  2.1255380E-03
   70.0000  2.1299340E-03
   72.0000  2.1423196E-03
   74.0000  2.1639151E-03
   76.0000  2.1940794E-03
   78.0000  2.2303737E-03
   80.0000  2.2687691E-03
   82.0000  2.3041258E-03
   84.0000  2.3310538E-03
   86.0000  2.3451759E-03
   88.0000  2.3444021E-03
   90.0000  2.3295146E-03
   92.0000  2.3038026E-03
   94.0000  2.2720796E-03
   96.0000  2.2394461E-03
   98.0000  2.2100338E-03
   100.000  2.1861083E-03
