    Energy    <xanes>    
  -10.0000  3.9907716E-05
  -9.00000  4.5562968E-05
  -8.00000  5.3248061E-05
  -7.00000  6.4372381E-05
  -6.00000  8.2071456E-05
  -5.00000  1.1493965E-04
  -4.00000  1.9655004E-04
  -3.00000  5.7361402E-04
  -2.00000  1.3284082E-03
  -1.00000  1.1743271E-03
   0.00000  1.1911785E-03
   0.50000  1.1906555E-03
   1.00000  1.1900199E-03
   1.50000  1.2330334E-03
   2.00000  1.3003249E-03
   2.50000  1.3501088E-03
   3.00000  1.3859652E-03
   3.50000  1.4179950E-03
   4.00000  1.4487098E-03
   4.50000  1.4927618E-03
   5.00000  1.5655071E-03
   5.50000  1.6819505E-03
   6.00000  1.8482277E-03
   6.50000  2.0474306E-03
   7.00000  2.2452719E-03
   7.50000  2.4113011E-03
   8.00000  2.5322233E-03
   8.50000  2.6026021E-03
   9.00000  2.6214057E-03
   9.50000  2.6067029E-03
   10.0000  2.5890263E-03
   11.0000  2.5789118E-03
   12.0000  2.5949483E-03
   13.0000  2.6388254E-03
   14.0000  2.5641164E-03
   15.0000  2.3257952E-03
   16.0000  2.0615675E-03
   17.0000  1.8743886E-03
   18.0000  1.7786018E-03
   19.0000  1.7511268E-03
   20.0000  1.7647438E-03
   21.0000  1.7983624E-03
   22.0000  1.8385301E-03
   23.0000  1.8779978E-03
   24.0000  1.9138244E-03
   25.0000  1.9461605E-03
   26.0000  1.9773808E-03
   27.0000  2.0108175E-03
   28.0000  2.0492084E-03
   29.0000  2.0937069E-03
   30.0000  2.1439863E-03
   31.0000  2.1990672E-03
   32.0000  2.2579705E-03
   33.0000  2.3194880E-03
   34.0000  2.3810401E-03
   35.0000  2.4374319E-03
   36.0000  2.4808086E-03
   37.0000  2.5025962E-03
   38.0000  2.4967787E-03
   39.0000  2.4626146E-03
   40.0000  2.4050686E-03
   41.0000  2.3328710E-03
   42.0000  2.2556849E-03
   43.0000  2.1819245E-03
   44.0000  2.1177214E-03
   45.0000  2.0667258E-03
   46.0000  2.0303238E-03
   47.0000  2.0080375E-03
   48.0000  1.9979995E-03
   49.0000  1.9974440E-03
   50.0000  2.0032005E-03
   52.0000  2.0218794E-03
   54.0000  2.0378967E-03
   56.0000  2.0486625E-03
   58.0000  2.0572273E-03
   60.0000  2.0637451E-03
   62.0000  2.0673171E-03
   64.0000  2.0712220E-03
   66.0000  2.0822299E-03
   68.0000  2.1058943E-03
   70.0000  2.1440511E-03
   72.0000  2.1950965E-03
   74.0000  2.2544895E-03
   76.0000  2.3150196E-03
   78.0000  2.3678888E-03
   80.0000  2.4048772E-03
   82.0000  2.4206826E-03
   84.0000  2.4142743E-03
   86.0000  2.3888318E-03
   88.0000  2.3507133E-03
   90.0000  2.3079481E-03
   92.0000  2.2683736E-03
   94.0000  2.2376864E-03
   96.0000  2.2181138E-03
   98.0000  2.2083665E-03
   100.000  2.2049793E-03
