    Energy    <xanes>    
  -10.0000  3.6004577E-05
  -9.00000  4.0541805E-05
  -8.00000  4.6487527E-05
  -7.00000  5.4660874E-05
  -6.00000  6.6684090E-05
  -5.00000  8.6274709E-05
  -4.00000  1.2408785E-04
  -3.00000  2.2516132E-04
  -2.00000  7.4091829E-04
  -1.00000  1.3981116E-03
   0.00000  1.2154825E-03
   0.50000  1.1789764E-03
   1.00000  1.1392024E-03
   1.50000  1.1174209E-03
   2.00000  1.1546853E-03
   2.50000  1.2280444E-03
   3.00000  1.3004708E-03
   3.50000  1.3602381E-03
   4.00000  1.4065001E-03
   4.50000  1.4383967E-03
   5.00000  1.4539553E-03
   5.50000  1.4426576E-03
   6.00000  1.4329715E-03
   6.50000  1.4708507E-03
   7.00000  1.5777000E-03
   7.50000  1.7498393E-03
   8.00000  1.9748429E-03
   8.50000  2.2338090E-03
   9.00000  2.4900870E-03
   9.50000  2.6892482E-03
   10.0000  2.7872948E-03
   11.0000  2.7683257E-03
   12.0000  2.7054751E-03
   13.0000  2.6307118E-03
   14.0000  2.6237486E-03
   15.0000  2.5614527E-03
   16.0000  2.3497306E-03
   17.0000  2.0964643E-03
   18.0000  1.9106903E-03
   19.0000  1.8143168E-03
   20.0000  1.7857585E-03
   21.0000  1.7965465E-03
   22.0000  1.8240089E-03
   23.0000  1.8548841E-03
   24.0000  1.8840056E-03
   25.0000  1.9104274E-03
   26.0000  1.9346511E-03
   27.0000  1.9581282E-03
   28.0000  1.9835576E-03
   29.0000  2.0144551E-03
   30.0000  2.0538716E-03
   31.0000  2.1031918E-03
   32.0000  2.1618479E-03
   33.0000  2.2278956E-03
   34.0000  2.2985581E-03
   35.0000  2.3698628E-03
   36.0000  2.4355840E-03
   37.0000  2.4869755E-03
   38.0000  2.5147169E-03
   39.0000  2.5126351E-03
   40.0000  2.4806926E-03
   41.0000  2.4249486E-03
   42.0000  2.3547993E-03
   43.0000  2.2797741E-03
   44.0000  2.2076296E-03
   45.0000  2.1438278E-03
   46.0000  2.0916794E-03
   47.0000  2.0526230E-03
   48.0000  2.0265026E-03
   49.0000  2.0118677E-03
   50.0000  2.0063291E-03
   52.0000  2.0109971E-03
   54.0000  2.0204805E-03
   56.0000  2.0265797E-03
   58.0000  2.0315877E-03
   60.0000  2.0389355E-03
   62.0000  2.0488774E-03
   64.0000  2.0613632E-03
   66.0000  2.0785784E-03
   68.0000  2.1034864E-03
   70.0000  2.1377079E-03
   72.0000  2.1811484E-03
   74.0000  2.2320198E-03
   76.0000  2.2863612E-03
   78.0000  2.3380592E-03
   80.0000  2.3800916E-03
   82.0000  2.4065013E-03
   84.0000  2.4140637E-03
   86.0000  2.4028620E-03
   88.0000  2.3758401E-03
   90.0000  2.3380535E-03
   92.0000  2.2959109E-03
   94.0000  2.2559276E-03
   96.0000  2.2229063E-03
   98.0000  2.1986114E-03
   100.000  2.1819938E-03
