    Energy    <xanes>    
  -10.0000  3.2464120E-05
  -9.00000  3.5979460E-05
  -8.00000  4.0384847E-05
  -7.00000  4.6085888E-05
  -6.00000  5.3792592E-05
  -5.00000  6.4888899E-05
  -4.00000  8.2551568E-05
  -3.00000  1.1640973E-04
  -2.00000  2.1671045E-04
  -1.00000  5.9067741E-04
   0.00000  7.2486693E-04
   0.50000  8.8730397E-04
   1.00000  1.1309192E-03
   1.50000  1.4967765E-03
   2.00000  1.8289767E-03
   2.50000  1.9368129E-03
   3.00000  1.8915544E-03
   3.50000  1.8242038E-03
   4.00000  1.7835816E-03
   4.50000  1.7692674E-03
   5.00000  1.7600217E-03
   5.50000  1.7356525E-03
   6.00000  1.7081650E-03
   6.50000  1.6920879E-03
   7.00000  1.6587302E-03
   7.50000  1.6143089E-03
   8.00000  1.5942443E-03
   8.50000  1.6132198E-03
   9.00000  1.6706014E-03
   9.50000  1.7663664E-03
   10.0000  1.8972224E-03
   11.0000  2.1889667E-03
   12.0000  2.3591927E-03
   13.0000  2.3767670E-03
   14.0000  2.3494989E-03
   15.0000  2.3249495E-03
   16.0000  2.3049689E-03
   17.0000  2.2844254E-03
   18.0000  2.2481415E-03
   19.0000  2.1919321E-03
   20.0000  2.1282956E-03
   21.0000  2.0724785E-03
   22.0000  2.0320681E-03
   23.0000  2.0060639E-03
   24.0000  1.9895895E-03
   25.0000  1.9788162E-03
   26.0000  1.9727169E-03
   27.0000  1.9719944E-03
   28.0000  1.9774886E-03
   29.0000  1.9894566E-03
   30.0000  2.0076295E-03
   31.0000  2.0314632E-03
   32.0000  2.0602196E-03
   33.0000  2.0928820E-03
   34.0000  2.1280961E-03
   35.0000  2.1642624E-03
   36.0000  2.1997186E-03
   37.0000  2.2328374E-03
   38.0000  2.2619790E-03
   39.0000  2.2854425E-03
   40.0000  2.3016123E-03
   41.0000  2.3092936E-03
   42.0000  2.3080283E-03
   43.0000  2.2982087E-03
   44.0000  2.2809756E-03
   45.0000  2.2579978E-03
   46.0000  2.2312414E-03
   47.0000  2.2027867E-03
   48.0000  2.1746854E-03
   49.0000  2.1488200E-03
   50.0000  2.1267479E-03
   52.0000  2.0977674E-03
   54.0000  2.0896220E-03
   56.0000  2.0964571E-03
   58.0000  2.1092437E-03
   60.0000  2.1206411E-03
   62.0000  2.1276152E-03
   64.0000  2.1313919E-03
   66.0000  2.1354106E-03
   68.0000  2.1429669E-03
   70.0000  2.1559572E-03
   72.0000  2.1747301E-03
   74.0000  2.1984110E-03
   76.0000  2.2253021E-03
   78.0000  2.2532460E-03
   80.0000  2.2799076E-03
   82.0000  2.3029390E-03
   84.0000  2.3201056E-03
   86.0000  2.3295505E-03
   88.0000  2.3302189E-03
   90.0000  2.3222519E-03
   92.0000  2.3071355E-03
   94.0000  2.2874841E-03
   96.0000  2.2664498E-03
   98.0000  2.2468969E-03
   100.000  2.2306569E-03
